Article,Date
"The CNBC IQ 100 gained 6.8 percent in the first quarter, outpacing the S&P 500's 5.5 percent gain. CNBC's exclusive, rules-based index also notched a 1 percent gain in March, as the Dow Jones Industrial Average and the S&P 500 lost ground.

As part of its rules-based methodology, the index has been re-weighted for the second quarter. Microsoft will remain the highest-weighted company in the index for the second straight quarter. MCAM International, the firm whose proprietary algorithms power the CNBC IQ 100, executed the re-weighting for CNBC.

""Microsoft scores very well across multiple industry sectors, including intelligent cloud applications and management, mobile operating systems, industrial internet and connected devices, and hardware and software for distributed gaming systems,"" says MCAM managing director David Pratt.

The companies in the CNBC IQ 100 Index are weighted according to each one's ability to invest in, develop, control and deploy intellectual property to achieve strategic advantage over competitors. Companies with the highest weighting maintain this type of advantage across multiple industries. Pratt says Microsoft beat out its competitors in a total of 12 distinct business types, more than any other company in the index.

With the re-weighting, chipmaker Micron Technology moves from being the fourth-highest weighted company in the first quarter to being equally weighted with JPMorgan Chase and tied for the second-highest weight in the second quarter. Boeing and Dow Chemical will remain the other companies in the top 5.

The index is re-weighted quarterly, and components are rebalanced annually. Micron was one of 10 companies added to the index at the start of 2017, replacing Intel. Micron shares jumped 30 percent in the first quarter, the biggest gainer among the 100 stocks in the index. ExxonMobil was the index's biggest loser in the first quarter, with a decline of almost 9.5 percent.",2017-04-04
"However, Cramer's top five names for the second quarter are all first-quarter winners, the top performers in the S&P 500 that should continue their ascents barring any major crises along the way.

First up is NRG Energy, a utility giant that has managed to climb over 52 percent this year after a period of weakness. Cramer said the country's largest competitive energy provider is still revamping operations, and that it would not surprise him if the stock ticked up even more.

Cramer then turned to Vertex, a biotechnology company focused on finding cystic fibrosis treatments that has see promising responses to its latest trials .

""Vertex has climbed up to $107 here, but ... [it] traded in the $140s back when the market first thought it had developed something good for cystic fibrosis before a setback, so I think this one has more room to run,"" Cramer said.

Third, Cramer tapped the contradictory Arconic, formerly Alcoa, an aerospace and defense play that has been at the center of a proxy fight between activist investor Elliott Management and Arconic's own CEO, Klaus Kleinfeld.

""We own Arconic for my charitable trust, and I've told club members that it simply wouldn't be this high without that fight from Elliott, and that makes the stock a little fraught at these levels, even as it's down four bucks from its highs,"" Cramer said. ""It's too cheap on the possibility of a takeover, ... but it's too expensive on earnings.""

Fourth and most actionable is video game maker Activision Blizzard, creator of the popular Call of Duty franchise and an integral name to own in the age of the stay-at-home economy.

""Of all the winners so far, I think this is the one that you can buy right here, right now, and then hopefully buy even more of on a pullback,"" Cramer said.

Cramer ended with Incyte, a pharmaceutical player that on Sunday announced it would combine one of its anti-cancer drugs with a Bristol-Myers Squibb treatment for a clinical development program.

A similar deal between Incyte and Merck has Wall Street rumoring a takeover, but Cramer isn't totally sold.

""I don't recommend a stock solely on the basis of takeover speculation,"" he said. ""But takeover or no takeover, here's where I come down: I actually believe that Incyte sells for a lot less than its key drug franchise is worth, which is why I'm giving you my blessing to buy it into the profit-taking that I think is a natural next step in the wake of the stock's big run today.""

Cramer insisted that he is not turning bearish, simply seeking the bargains that a near-term dip could provide.

""I am happy to wait for lower prices. But if we don't get them, you know what? Then that will mean I was too cautious. It's always a possibility, but after such a strong start to the year, please don't mind me if I want to get a little picky before I end up pulling the trigger,"" Cramer said.

Questions for Cramer?

Call Cramer: 1-800-743-CNBC

Want to take a deep dive into Cramer's world? Hit him up!

Mad Money Twitter - Jim Cramer Twitter - Facebook - Instagram - Vine

Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com",2017-04-03
"Best quarter ever for ETF flows Friday, 31 Mar 2017 | 2:04 PM ET | 03:25

The bullish beginning of 2017 did more than set a sizzling pace for the year — it actually pulled some long-dormant cash off the sidelines.

As the S&P 500 gained 4.7 percent, and bonds managed to stay above water, investors yanked about $75 billion out of low-yielding money market accounts and put it to work, according to data from the Investment Company Institute and TrimTabs. The total represented about 2.7 percent of all assets.

That money accounted for a sizable chunk of the $162 billion that flowed to both stocks and bond funds during the quarter, TrimTabs said.

The money market total is through February, the most recent data available from the ICI.",2017-04-03
"After a weak March, April isn't starting off any better.

Recent performance is raising the possibility of a market correction that would bring valuations more in line with corporate earnings, and it would take at least a 20 percent decline in the S&P 500 for price-to-earnings ratios to return to their recent averages.

High valuations are just one of many factors that could be signs of a correction in the near future. Analysts have also pointed to falling commodity prices and political disappointments that could usher in a downturn. Other investors are hoping for a correction to keep the market healthy and in line with fundamentals.

Stock prices are about 22 times more than the last year's earnings, compared with a 10-year average of about 16. The cyclically adjusted price to earnings ratio (CAPE) is near 30, compared with a recent average of about 23. The market has had a number of minor corrections since the Great Recession, but they have done little to slow price gains relative to earnings.",2017-04-03
"Ahead of this week's meeting of President Donald Trump and Chinese President Xi Jinping at Mar-a-Lago, Trump is warning the U.S. would take unilateral action if China doesn't pressure North Korea on nukes. (FT)

Egypt's President Abdel-Fattah el-Sissi, a former general who was elected but rules with a heavy hand, meets with Trump at the White House today. The two first met in September. (AP)

The Senate Judiciary Committee today is expected to advance Supreme Court nominee Neil Gorsuch to a full Senate vote later this week. Democrats are seeking to block the confirmation but another defected. (Reuters)

With immigration a focus for the Trump administration, the government starts accepting petitions today for fiscal year 2018 to allow U.S. companies to temporarily employ skilled foreign workers. (CNBC)

Amazon (AMZN), Alphabet ( GOOGL ), and Apple are reportedly among the bidders for Toshiba's flash memory unit. Last week, Broadcom (AVGO) and Silver Lake reportedly offered $17.9 billion.

Tesla (TSLA) delivered 25,000 vehicles during the first three months of 2017, up 69 percent from a year ago and the highest-ever quarterly total. Production begins in July on the new, mass-market Model 3. (CNBC)

Mylan (MYL) expanded its EpiPen recall to include the American market. Last month, the drugmaker announced a recall of 81,000 units outside the U.S. following reports of the allergy treatment failing to work. (Reuters)

More than 40,000 households across five states, including Louisiana and Mississippi, were still without power this morning as severe storms that killed two people Sunday continued to sweep the South. (CNBC)",2017-04-03
"A veteran Wall Street strategist says the markets just dipped below a technical level, which could give investors a chance to pounce.

Raymond James' chief investment strategist, Jeffrey Saut, is referring to what happened on Wednesday, when both the S&P 500 and Dow closed below their 50-day moving averages for the first time since the week Donald Trump won the presidential election.

Saut is characterizing it as a""very short-term red flag"" — one which will likely morph into a solid buying opportunity as earnings season begins.

""It could indicate that we would finally get a test of that 2,270-2,280 level,"" Saut said Wednesday on CNBC's ""Trading Nation."" ""If we get that, I'd put money to work.""

There already seems to be skittishness surrounding stocks just hours before JPMorgan Chase, Citigroup and Wells Fargo become among the first major companies to report their latest quarterly results.

""Complacency is pretty high right here,"" said Saut. ""The S&P was trading around 2,350 in mid-February, and that's pretty much where it's traded up until the past few hours.""

When asked about the notion that the markets are lodged in a ""Taylor Swift-like shake it off market ,"" Saut didn't seem too concerned. The idea is derived from a trend that stocks have been staying within 2 percent of their closing highs despite serious geopolitical risks overseas in areas such as Syria and North Korea.

""I think you would have to watch out for a black swan event. If there was a nuclear incident with North Korea, that would certainly give you a 5 to 10 percent correction,"" he cautioned.

Yet Saut, who has about 25 percent of his money in cash right now, believes the odds of that kind of situation emerging are low. He's also optimistic that earnings season will bode very well for stocks.

He's most positive about financials and technology, which make up more than one-third of the S&P 500.

""I'm expecting good things out of both of those sectors,"" Saut said. ""Longer term, I still think we're in a secular bull market that has years left to run.""

Want to be a part of the Trading Nation? If you'd like to call into our live Wednesday show, email your name, number, and a question to TradingNation@cnbc.com

",2017-04-13
"This usually happens after the VIX jumps 25%+ in one week Tuesday, 11 Apr 2017 | 12:57 PM ET | 00:16

U.S. stocks fell, with the S&P 500 and Dow Jones industrial average closed at two-month lows Thursday.

""I'd say it's probably more of a Trump trade [reversing] than the geopolitics, but going forward I think the geopolitics is the topic the market is focusing on,"" said Andres Jaime, global FX and rates strategist at Barclays.

Meanwhile, tensions around North Korea are heating up as the communist state has warned of a nuclear attack on the U.S., which has sent a Navy strike group toward the western Pacific. North Korea celebrates the birth of its founder Kim Il Sung on Saturday.

VIX 12-month performance

Source: FactSet

The fear index on Thursday hit 16.22, its highest since Nov. 10, after closing above its 200-day moving average on Monday for the first time since Nov. 8.

""The VIX confirmed a breakout above its 200-day moving average [Tuesday], supporting a pickup in volatility in the days ahead,"" BTIG's chief technical strategist, Katie Stockton, said in a Wednesday note.

""We expect the inversely correlated SPX to break its 50-day moving average in a short-term setback that will lead to a retest of March's low"" of 2,322, she said.

A key factor for the renewed fear was concern about geopolitical events such as tensions with North Korea, the conflict in Syria, or the French elections.

The geopolitical risk has been known for some time, but ""now it's creating a critical mass,"" said Dan Veru, chief investment officer at Palisade Capital Management. ""The market's being forced to recognize the impact [from] global disruption.""

""You're seeing significant institutional demand for protection. Right or wrong, their models are indicating now there's an increased risk of further market disruption,"" he said.

In another concerning move, the S&P 500 closed below its 50-day moving average Wednesday for the first time since Election Day.

However, the VIX is also still well below its historical highs. The index hit a 52-week high last June of 26.7, and Veru pointed out on Wednesday that VIX futures for May and June actually point to a decline in the fear index.

""That tells you based on what options players feel, that there's a great deal of risk on the near-term time horizon and they don't see as much risk in May as they see right now in April,"" he said.

The major U.S. averages also remain within 3 percent of their all-time highs.

""A deeper pullback would be constructive in that it would generate short-term oversold conditions within the framework of the long-term uptrend,"" Stockton said.

— CNBC's Gina Francolla and Robert Hum contributed to this report.",2017-04-13
"On Thursday morning, investors got a read on the health of the big financials after three of the largest U.S. banks, JPMorgan Chase, Wells Fargo and Citigroup reported first quarter earnings reports.

Higher costs and weaker mortgage revenue were to blame for Wells Fargo's mixed report as the nation's third-largest bank by assets is still struggling with the fallout over its sales scandal revealed last year.

Citigroup easily topped Wall Street's estimates, reporting earnings of $1.35 on revenue of $18.12 billion. The beat was driven by strong growth in the bank's consumer and institutional businesses.

Finally, JPMorgan reported earnings of $1.65 on revenue of $25.58 billion. The firm's trading revenue reached $6.52 billion, soaring past forecasts.

Since the end of the financial crisis, JPMorgan has topped first-quarter earnings estimates 88 percent of the time, with 2014 the only earnings miss - excluding this morning's report.

This is a great track record on paper, but in the short-term, it doesn't necessarily bode well for the stock.

Using hedge fund analytics tool Kensho, CNBC ran a study to see how JPMorgan performs in the week following its first quarter results.

Despite the high batting average for beats, JPMorgan has actually traded negatively 88 percent of the time in the following week, with an average loss of 1.43 percent—2016 logged the only positive return in that period.

The Financial SPDR (XLF) also tends to head lower in this period, trading negatively 63 percent of the time, with an average loss of 0.5 percent.

Disclosure: NBCUniversal, the parent of CNBC, is a minority investor in Kensho.",2017-04-13
"The Japanese yen's relationship to the U.S. dollar may be at a critical level, potentially signaling a warning for the equity market.

The dollar dropped in Friday trading to 108.71 against the yen , its lowest level since mid-November. Boris Schlossberg, managing director of foreign exchange strategy at BK Asset Management, said the dollar/yen broke a crucial level to the downside when it slid below 110 this week.

""I think that's a very, very serious sign suggesting that risk-off is really starting to permeate through the markets because in my opinion, yen always leads the markets in terms of risk-off sentiment,"" he said, adding that fear first appears in the currency market and then ""spreads"" into the equity market.

Schlossberg pointed to investors growing increasingly concerned about geopolitical uncertainty particularly in Korea, about the general tightening of credit conditions, and ""the fact that there is very little progress on the reflation front out of D.C.""

""We've had a big disconnect between what the currencies have been saying and what the equities have been saying, and I think now we're reaching a breaking point where the currencies are really signaling that equities need to come in and correct,"" he said Wednesday in an interview on CNBC's ""Trading Nation.""

Chad Morganlander, portfolio manager at Washington Crossing Advisors, echoes Schlossberg's sentiment concerning the yen triggering pressure on equities. He said the dollar/yen could fall to 105 over the next three months, and calls the S&P 500 ""frothy"" at these levels.

Along with the yen, the long end of the yield curve is also pointing to the economy not accelerating as much as the market expects, Morganlander said.

The greenback fell to its 200-day moving average against the yen in early trading, observed Win Thin, global head of emerging market currency strategy at Brown Brothers Harriman.

""The subsequent stabilization looks fragile, and the JPY107.90 area may be the next target, which corresponds to a 61.8% retracement of the rally since the US election,"" Thin wrote in a note to clients on Thursday.",2017-04-13
"""I think depending on the severity of it, we have a pullback or a correction but because of the economic indicators I'm looking at, I'm not worried a recession is around the corner, and as a result, I don't think we're heading for a bear market,"" Stovall said.

The bond market has been a big beneficiary of this ""geopolitical"" trade, with the 10-year Treasury yield breaking below a range it has been in for months. The 10-year yield, which moves opposite to prices, had been trading steadily between 2.30 and 2.60 percent since mid-November.

This week, buying took the yield to a low of 2.21 percent and strategists say it could fall even further.

Aaron Kohli, rate strategist at BMO, said the market is definitely trading on fears about North Korea and other geopolitical events, but the big change in market attitude was in March, when Republicans failed to pass a new health-care bill. That legislation was seen as a necessary step ahead of tax reform, and markets now see both as in limbo.

""It's been about reading the tea leaves of the health-care failure, and it's been slowly taking back some of the inflation and growth expectations,"" said Kohli. ""It's been the crescendo with these [geopolitical] headlines, or tape bombs.""

The worries about North Korea and Syria come at the same time global investors are already on edge about the potential for the National Front candidate Marine Le Pen to win the French presidential election. While not expected, a victory by Le Pen could lead to France leaving the euro zone. The first round vote is April 23, and the second round is May 7.

""While people are shifting some risk, there's a general belief [former French Economy Minister Emmanuel] Macron is going to be the winner,"" said Peter Boockvar, chief market analyst at The Lindsey Group. ""The most important thing people should be focused on is are we going to get tax reform, and what the formulation is going to be. It's apparently not what people entered the year hoping for, and they should also pay attention to the fact that central banks around the world are taking away the punch bowl.""



Boockvar said ultimately geopolitical fears don't last that long, but they have created important technical moves against the backdrop of a market that could be disappointed by what stimulus comes out of Washington. The bond market, he said has also been moving on concerns the Fed will keep raising rates while the economy is not growing that much.

But the fact geopolitical tensions have been running high has clearly filtered through to markets. On Wednesday, stocks cut some losses and the dollar strengthened after Russia and the U.S. showed a willingness to work on their relationship and some thorny issues like Syria and North Korea.

""On the margin, it's an easing of tension. ... The U.S. missile attack is not the beginning of a wholesale military involvement in Syria. North Korea, not clear,"" said Marc Chandler, Brown Brothers Harriman head of foreign exchange strategy.

U.S. Secretary of State Rex Tillerson held a news briefing with his Russian counterpart Wednesday, committed to working together despite apparent disagreement.

Shortly after the briefing, President Donald Trump was quoted in a Wall Street Journal report saying he believes the dollar was too strong and that he likes low interest rates. That sent the greenback reeling and it was still under pressure Thursday.

That in turn helped gold, which already crossed above its 200-day moving average in the spot market this week. Gold futures were at $1,286 per ounce in Thursday trading, and gold is seen as the ultimate safe hold. Gold futures were up 2.4 percent week to date.

Suki Cooper, precious metals analyst at Standard Chartered Bank, said the metal could easily go to $1,300 and trade higher above that psychological threshold in the near term. ""The weakness we've seen in the dollar has certainly helped gold extend its gains,"" she said.

Cooper said there has not been this much investor interest since the Brexit vote last June and around the U.S. election. ""This time its geopolitics that stoked the safe haven demand,"" she said.

""It looks like there's a good base for gold prices here, and I would expect prices to extend their gains,"" she said.

Watch: Another North Korea nuclear test?",2017-04-13
